OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseVolume,TakerBuyQuoteVolume,Ignore
2025-10-22 21:19:00,107170.0,107197.93,107170.0,107186.8,3.81575,1761167999999,408982.18553520,1735,2.68042000,287286.64971410,0
2025-10-22 21:20:00,107186.79,107270.03,107172.71,107270.02,9.07574,1761168059999,972946.18737380,3513,4.40464000,472275.34504860,0
2025-10-22 21:21:00,107270.02,107305.12,107231.86,107272.04,10.48202,1761168119999,1124421.75735010,3554,4.07066000,436641.40703190,0
2025-10-22 21:22:00,107272.04,107272.04,107152.44,107152.44,17.88795,1761168179999,1917591.71627870,4432,4.98947000,534778.60557140,0
2025-10-22 21:23:00,107152.44,107152.44,106875.0,106883.84,40.37424,1761168239999,4318866.89611990,7938,13.96370000,1493593.71043270,0
2025-10-22 21:24:00,106883.84,106900.53,106829.35,106868.75,23.25643,1761168299999,2485440.81415610,5541,9.08098000,970494.34781500,0
2025-10-22 21:25:00,106868.75,106894.56,106760.2,106865.51,22.29397,1761168359999,2381747.94940180,6771,7.92044000,846263.48942380,0
2025-10-22 21:26:00,106865.51,106931.75,106855.57,106855.57,17.27486,1761168419999,1846667.04229500,4795,4.28350000,457910.56577940,0
2025-10-22 21:27:00,106855.57,106855.57,106790.13,106834.76,10.44402,1761168479999,1115575.74151870,2980,6.35736000,679036.81879160,0
2025-10-22 21:28:00,106834.76,106834.76,106734.57,106734.99,8.58115,1761168539999,916336.79247360,3546,3.07698000,328544.92636710,0
2025-10-22 21:29:00,106735.0,106820.24,106734.99,106785.59,21.055,1761168599999,2248397.42823590,5121,14.95246000,1596689.54637130,0
2025-10-22 21:30:00,106785.59,106820.93,106746.52,106804.83,13.23117,1761168659999,1412960.44390140,4984,5.02909000,537037.95715560,0
2025-10-22 21:31:00,106804.83,106909.41,106804.83,106876.1,13.27185,1761168719999,1418447.50812240,4343,5.65791000,604692.34977150,0
2025-10-22 21:32:00,106876.1,106901.44,106811.49,106901.43,7.22273,1761168779999,771697.79448620,2673,3.53047000,377199.06728930,0
2025-10-22 21:33:00,106901.44,107061.33,106901.43,107029.13,32.91467,1761168839999,3522097.66288640,4054,24.30386000,2600606.13041600,0
2025-10-22 21:34:00,107029.12,107048.79,106868.61,106868.62,17.77394,1761168899999,1900835.71111960,4971,9.45423000,1011038.62999060,0
2025-10-22 21:35:00,106868.62,106992.45,106860.0,106970.36,10.70877,1761168959999,1144830.39041580,2902,4.23945000,453245.30056670,0
2025-10-22 21:36:00,106970.37,106970.37,106834.0,106910.42,7.86514,1761169019999,840640.62737900,4328,2.29006000,244696.30015420,0
2025-10-22 21:37:00,106910.43,106966.92,106910.42,106966.4,7.24916,1761169079999,775300.09445590,1245,2.94625000,315088.52409260,0
2025-10-22 21:38:00,106966.4,106966.41,106857.21,106884.95,11.59552,1761169139999,1239772.97804270,2709,1.98986000,212644.18655550,0
2025-10-22 21:39:00,106884.95,106956.26,106884.94,106947.2,5.45042,1761169199999,582831.01439140,1787,1.95450000,208969.04283450,0
2025-10-22 21:40:00,106947.2,107019.81,106905.69,106970.19,18.08107,1761169259999,1934167.67923420,4087,9.10468000,973903.42467220,0
2025-10-22 21:41:00,106970.19,107086.37,106970.19,107086.37,8.48166,1761169319999,907828.32511210,1641,7.11883000,761968.77808020,0
2025-10-22 21:42:00,107086.37,107126.02,107030.63,107030.64,6.52167,1761169379999,698328.38930860,2444,0.78350000,83911.82041030,0
2025-10-22 21:43:00,107030.63,107035.99,106961.25,106962.58,18.74184,1761169439999,2005527.36892490,2399,5.25374000,562130.16041740,0
2025-10-22 21:44:00,106962.59,106962.59,106942.72,106942.72,2.67655,1761169499999,286258.34695510,759,0.99278000,106170.93875260,0
2025-10-22 21:45:00,106942.73,107059.22,106942.72,107059.22,4.91353,1761169559999,525813.46984000,1958,4.10375000,439162.74632690,0
2025-10-22 21:46:00,107059.22,107098.6,107000.0,107039.56,15.25463,1761169619999,1632825.83945510,3581,3.76207000,402590.63961680,0
2025-10-22 21:47:00,107039.55,107155.62,107039.55,107148.91,7.73977,1761169679999,829002.74453080,1562,6.34753000,679890.86913350,0
2025-10-22 21:48:00,107148.9,107214.91,107108.29,107161.81,23.49887,1761169739999,2518266.09703730,6566,10.04800000,1076678.91606360,0
2025-10-22 21:49:00,107161.81,107168.32,107101.11,107165.87,3.29454,1761169799999,352950.23823220,1907,0.59906000,64178.18518450,0
2025-10-22 21:50:00,107165.86,107187.95,107082.12,107123.33,13.17689,1761169859999,1411754.75378130,4013,7.33460000,785869.93448600,0
2025-10-22 21:51:00,107123.33,107181.96,107112.42,107181.95,3.65575,1761169919999,391647.44034110,2312,2.49105000,266877.93286230,0
2025-10-22 21:52:00,107181.95,107186.59,107170.17,107186.59,4.73471,1761169979999,507463.16304270,922,1.24700000,133655.49874030,0
2025-10-22 21:53:00,107186.59,107332.98,107186.58,107308.93,16.73522,1761170039999,1795302.52783660,4098,9.59145000,1028723.56041610,0
2025-10-22 21:54:00,107308.94,107308.94,107269.64,107269.65,3.62064,1761170099999,388505.07873130,1304,0.21387000,22949.79736970,0
2025-10-22 21:55:00,107269.65,107297.3,107202.01,107297.3,17.11673,1761170159999,1835621.98875540,3935,11.05623000,1185589.03796700,0
2025-10-22 21:56:00,107297.31,107321.76,107253.0,107253.0,8.70623,1761170219999,934138.20560980,1729,1.87611000,201301.23168920,0
2025-10-22 21:57:00,107252.99,107252.99,107188.67,107188.68,5.2056,1761170279999,558116.27254080,1338,0.54891000,58837.19084060,0
2025-10-22 21:58:00,107188.68,107188.68,107082.11,107083.19,9.23189,1761170339999,989228.30135500,2819,1.82963000,196009.32764330,0
2025-10-22 21:59:00,107083.19,107207.99,107082.11,107207.98,16.60115,1761170399999,1779009.29255040,3515,6.06996000,650409.73103680,0
2025-10-22 22:00:00,107207.98,107268.0,107156.43,107268.0,25.89021,1761170459999,2775318.18584960,3333,14.21535000,1523697.83972120,0
2025-10-22 22:01:00,107267.99,107311.32,107267.99,107311.31,6.73991,1761170519999,723199.65181990,1611,1.92981000,207038.56564260,0
2025-10-22 22:02:00,107311.32,107519.0,107311.31,107510.79,46.64606,1761170579999,5010237.02796920,6069,34.60837000,3716977.52540020,0
2025-10-22 22:03:00,107510.8,107510.8,107402.84,107414.01,18.35325,1761170639999,1971865.62226060,3741,3.04193000,326754.86453760,0
2025-10-22 22:04:00,107414.0,107429.6,107353.76,107371.56,6.1909,1761170699999,664786.42910000,2402,3.24037000,347921.55876990,0
2025-10-22 22:05:00,107371.56,107371.56,107282.31,107289.39,12.61136,1761170759999,1353398.06089410,3402,2.62905000,282124.57188860,0
2025-10-22 22:06:00,107289.4,107615.38,107289.39,107589.67,44.68341,1761170819999,4804130.48227330,7492,36.26342000,3898349.70981690,0
2025-10-22 22:07:00,107589.66,107683.25,107540.58,107540.59,30.44563,1761170879999,3276211.90765610,5365,14.98218000,1612210.34114470,0
2025-10-22 22:08:00,107540.59,107544.33,107427.67,107427.67,13.50018,1761170939999,1450923.40071500,2948,2.21843000,238405.92707060,0
2025-10-22 22:09:00,107427.67,107562.89,107427.67,107532.07,12.26619,1761170999999,1318617.14819150,3395,8.85374000,951684.27968440,0
2025-10-22 22:10:00,107532.08,107532.08,107434.3,107504.57,8.13964,1761171059999,874784.07364880,3447,2.09541000,225179.52981630,0
2025-10-22 22:11:00,107504.56,107504.56,107452.42,107472.21,21.1577,1761171119999,2274087.52873510,2032,4.33348000,465779.86070770,0
2025-10-22 22:12:00,107472.21,107472.21,107352.94,107429.36,16.70232,1761171179999,1793969.32768270,3282,8.28705000,890082.81145900,0
2025-10-22 22:13:00,107429.35,107437.56,107366.81,107431.89,6.15312,1761171239999,660862.49607370,2854,4.18560000,449513.18215890,0
2025-10-22 22:14:00,107431.9,107457.48,107412.48,107426.99,4.69068,1761171299999,503933.28254150,1501,2.30166000,247257.74551910,0
2025-10-22 22:15:00,107426.99,107443.99,107297.39,107334.33,7.96612,1761171359999,855356.55764420,3877,1.63912000,175950.85720900,0
2025-10-22 22:16:00,107334.32,107354.87,107303.74,107354.86,4.6796,1761171419999,502267.35488580,1825,1.75373000,188212.71513790,0
2025-10-22 22:17:00,107354.86,107386.61,107326.64,107386.61,5.45074,1761171479999,585152.73734840,1617,3.01251000,323388.95100400,0
2025-10-22 22:18:00,107386.61,107390.71,107342.91,107370.29,2.27118,1761171539999,243837.36973720,1780,1.02111000,109621.43650430,0
2025-10-22 22:19:00,107370.29,107395.12,107325.34,107325.35,6.34962,1761171599999,681740.95150230,2352,1.39567000,149849.24319290,0
2025-10-22 22:20:00,107325.35,107325.35,107220.95,107220.96,11.6136,1761171659999,1245686.59387980,3957,0.65467000,70204.55682110,0
2025-10-22 22:21:00,107220.95,107220.95,106917.57,106945.91,39.47322,1761171719999,4224501.65055250,8084,3.35207000,358509.42630060,0
2025-10-22 22:22:00,106945.91,107151.89,106923.21,107146.85,13.76516,1761171779999,1473467.91552840,5562,10.08682000,1079506.62112000,0
2025-10-22 22:23:00,107146.85,107192.06,107128.11,107179.99,11.99927,1761171839999,1285868.25723670,2386,5.46724000,585828.46196890,0
2025-10-22 22:24:00,107179.99,107180.0,107045.26,107102.29,9.05708,1761171899999,969968.00332290,5364,4.66396000,499354.45398810,0
2025-10-22 22:25:00,107102.28,107128.71,107045.26,107128.71,3.46107,1761171959999,370556.12012030,3367,2.40784000,257789.86349920,0
2025-10-22 22:26:00,107128.71,107128.72,107045.26,107045.27,7.92795,1761172019999,848892.21698220,3952,0.82431000,88266.90943070,0
2025-10-22 22:27:00,107045.26,107045.27,107007.09,107045.27,9.92369,1761172079999,1062004.16952730,3736,4.99175000,534176.52430390,0
2025-10-22 22:28:00,107045.27,107088.71,107028.08,107069.91,5.25912,1761172139999,563090.31072800,2909,2.48356000,265919.80579560,0
2025-10-22 22:29:00,107069.92,107069.92,106979.95,107055.55,19.06139,1761172199999,2039912.81496970,4394,5.31121000,568356.58231080,0
